Pekka Ahmavaara; Nuor.; Oulun l‰‰nin pohjoinen; 
Santeri Alkio; Nuor., SML; Vaasan l‰‰nin etel‰inen; siirtyi SML:‰‰n 1. syyskuuta 1907
Gustaf Arokallio; Nuor.; Viipurin l‰‰nin it‰inen; 
Uuno Brander; Nuor.; Kuopion l‰‰nin it‰inen; Suuren valiokunnan pj. 1907
Jonas CastrÈn; Nuor.; Viipurin l‰‰nin l‰ntinen; 
Eero Erkko; Nuor.; Uudenmaan l‰‰nin; 
Lucina Hagman; Nuor.; H‰meen l‰‰nin etel‰inen; Anomusvaliokunnan pj.[4]
Juho Haveri; Nuor.; Vaasan l‰‰nin it‰inen; 
Samuel Heiskanen; Nuor.; Kuopion l‰‰nin l‰ntinen; 
Nestor Huoponen; Nuor.; Viipurin l‰‰nin it‰inen; 
Mikko Knuutila; Nuor.; Oulun l‰‰nin etel‰inen; 
William Koskelin; Nuor.; Vaasan l‰‰nin it‰inen; 
Pietari Kuisma; Nuor.; Viipurin l‰‰nin it‰inen; 
Pekka Lepp‰nen; Nuor.; Kuopion l‰‰nin it‰inen; 
Albert Luoma; Nuor.; Oulun l‰‰nin etel‰inen; 
Antti Mikkola; Nuor.; Turun l‰‰nin etel‰inen; 
Alli Nissinen; Nuor.; Kuopion l‰‰nin l‰ntinen; 
Pekka Pennanen; Nuor.; Kuopion l‰‰nin it‰inen; 
Matti Pesonen; Nuor.; Kuopion l‰‰nin l‰ntinen; 
Heikki Gabriel Renvall; Nuor.; Mikkelin l‰‰nin; 
Tahvo Riihel‰; Nuor.; Viipurin l‰‰nin l‰ntinen; 
E. N. Set‰l‰; Nuor.; Turun l‰‰nin pohjoinen; Perustuslakivaliokunnan pj.
Juho Snellman; Nuor.; Kuopion l‰‰nin l‰ntinen; 
Pehr Evind Svinhufvud; Nuor.; Mikkelin l‰‰nin; Puhemies
Kalle Viljakainen; Nuor.; H‰meen l‰‰nin pohjoinen; 
Kaarlo Wikman; Nuor.; Viipurin l‰‰nin l‰ntinen; 
Juho Heikkinen; SML; Oulun l‰‰nin etel‰inen; 
Kyˆsti Kallio; SML; Oulun l‰‰nin etel‰inen; Ryhm‰n puheenjohtaja[8]
Otto Karhi; SML; Oulun l‰‰nin etel‰inen; 
Heikki Kiiskinen; SML; Oulun l‰‰nin etel‰inen; 
Juhani Lepp‰l‰; SML; Viipurin l‰‰nin it‰inen; 
Kalle Kustaa Pyk‰l‰; SML; Viipurin l‰‰nin it‰inen; 
August Raatikainen; SML; Kuopion l‰‰nin l‰ntinen; 
Hilma R‰s‰nen; SML; Viipurin l‰‰nin it‰inen; 
Lauri Tuunanen; SML; Viipurin l‰‰nin it‰inen; 
Frans Ahlroos; RKP; Uudenmaan l‰‰nin; 
Kristian von Alfthan; RKP; Uudenmaan l‰‰nin; 
Johannes B‰ck; RKP; Vaasan l‰‰nin pohjoinen; 
Axel Cederberg; RKP; Vaasan l‰‰nin etel‰inen; 
Leo Ehrnrooth; RKP; Uudenmaan l‰‰nin; 
Ernst Estlander; RKP; Vaasan l‰‰nin etel‰inen; 
Fridolf Gustafsson; RKP; Uudenmaan l‰‰nin; 
Reinhold Hedberg; RKP; Vaasan l‰‰nin etel‰inen; 
Karl Julian Karlsson; RKP; Turun l‰‰nin etel‰inen; 
Arvid Neovius; RKP; Vaasan l‰‰nin etel‰inen; 
Dagmar Neovius; RKP; Turun l‰‰nin etel‰inen; 
Oskar Nix; RKP; Vaasan l‰‰nin etel‰inen; 
Jakob N‰s; RKP; Vaasan l‰‰nin pohjoinen; 
Karl Oljemark; RKP; Uudenmaan l‰‰nin; 
Gustaf Rosenqvist; RKP; Uudenmaan l‰‰nin; 
Vilhelm Rosenqvist; RKP; Turun l‰‰nin etel‰inen; Ryhm‰n puheenjohtaja[9]
Johan Wilhelm Runeberg; RKP; Vaasan l‰‰nin pohjoinen; 
Oskar Schultz; RKP; Turun l‰‰nin etel‰inen; 
Emil Schybergson; RKP; Uudenmaan l‰‰nin; Pankkivaliokunnan pj.
Otto Sl‰tis; RKP; Vaasan l‰‰nin etel‰inen; 
Johan Storbjˆrk; RKP; Vaasan l‰‰nin pohjoinen; 
Julius Sundblom; RKP; Turun l‰‰nin etel‰inen; 
Karl Sˆderholm; RKP; Uudenmaan l‰‰nin; Lakivaliokunnan pj.
Osvald Wasastjerna; RKP; Uudenmaan l‰‰nin; 
Ida Aalle-Teljo; SDP; Turun l‰‰nin etel‰inen; 
Matti Aalto; SDP; Vaasan l‰‰nin etel‰inen; 
Emanuel Aromaa; SDP; Turun l‰‰nin pohjoinen; 
Vihtori Aromaa; SDP; Mikkelin l‰‰nin; 
Voitto Eloranta; SDP; H‰meen l‰‰nin etel‰inen; 
Oliver Eronen; SDP; Mikkelin l‰‰nin; 
Seth Heikkil‰; SDP; Turun l‰‰nin etel‰inen; 
Ville Heimonen; SDP; Viipurin l‰‰nin l‰ntinen; 
Edvard Helle; SDP; Uudenmaan l‰‰nin; 
Matti Hoikka; SDP; Oulun l‰‰nin etel‰inen; 
Evert Hokkanen; SDP; H‰meen l‰‰nin etel‰inen; 
Anni Huotari; SDP; Kuopion l‰‰nin l‰ntinen; 
Kalle Petter Huttunen; SDP; Mikkelin l‰‰nin; 
Samuli H‰kkinen; SDP; Vaasan l‰‰nin it‰inen; 
Antti H‰m‰l‰inen; SDP; Kuopion l‰‰nin it‰inen; 
Kalle H‰m‰l‰inen; SDP; Oulun l‰‰nin etel‰inen; 
Heikki H‰yrynen; SDP; H‰meen l‰‰nin pohjoinen; 
Karl Gustaf Hˆijer; SDP; H‰meen l‰‰nin pohjoinen; 
Albert Ingman; SDP; Uudenmaan l‰‰nin; 
Oskari Jalava; SDP; H‰meen l‰‰nin etel‰inen; 
Oscar Johansson; SDP; Uudenmaan l‰‰nin; 
Josua J‰rvinen; SDP; Mikkelin l‰‰nin; 
Taavetti Kalliokorpi; SDP; Turun l‰‰nin pohjoinen; 
Mimmi Kanervo; SDP; Turun l‰‰nin pohjoinen; 
Anshelm Kannisto; SDP; Mikkelin l‰‰nin; 
Juho Kirves; SDP; Viipurin l‰‰nin l‰ntinen; 
Juho Komu; SDP; Oulun l‰‰nin etel‰inen; 
Albin Koponen; SDP; Kuopion l‰‰nin it‰inen; 
Frans Koskinen; SDP; Turun l‰‰nin pohjoinen; 
Juho Laakso; SDP; Uudenmaan l‰‰nin; 
Arvi Lahtinen; SDP; Kuopion l‰‰nin it‰inen; 
Oskari Fredrik Laine; SDP; Viipurin l‰‰nin it‰inen; 
Wilho Laine; SDP; Turun l‰‰nin pohjoinen; 
Sandra Lehtinen; SDP; H‰meen l‰‰nin pohjoinen; 
Oskari Leivo; SDP; Turun l‰‰nin pohjoinen; 
Heikki Lindroos; SDP; H‰meen l‰‰nin pohjoinen; 
Atte Mantere; SDP; Oulun l‰‰nin pohjoinen; 
Janne Martikainen; SDP; Viipurin l‰‰nin it‰inen; 
Jussi Merinen; SDP; Turun l‰‰nin pohjoinen; 
Antti M‰kelin; SDP; Kuopion l‰‰nin l‰ntinen; 
Vihtori M‰kel‰; SDP; Viipurin l‰‰nin it‰inen; 
Kaarle M‰nty; SDP; Vaasan l‰‰nin it‰inen; 
Pekka Mˆmmˆ; SDP; Kuopion l‰‰nin l‰ntinen; 
Joel Naaralainen; SDP; Vaasan l‰‰nin it‰inen; 
Santeri Nuorteva; SDP; H‰meen l‰‰nin etel‰inen; 
Oskari Orasmaa; SDP; Mikkelin l‰‰nin; 
Matti Paasivuori; SDP; Viipurin l‰‰nin l‰ntinen; 
Maria Paaso; SDP; H‰meen l‰‰nin etel‰inen; 
Antti Partanen; SDP; Kuopion l‰‰nin l‰ntinen; 
Penna Paunu; SDP; H‰meen l‰‰nin pohjoinen; 
Emil Perttil‰; SDP; Uudenmaan l‰‰nin; Talousvaliokunnan pj.
Valfrid Perttil‰; SDP; Uudenmaan l‰‰nin; 
Emanuel Pohjav‰re; SDP; Vaasan l‰‰nin it‰inen; 
Hilja P‰rssinen; SDP; Viipurin l‰‰nin l‰ntinen; 
Frans Rantanen; SDP; Turun l‰‰nin pohjoinen; 
Samuli Rantanen; SDP; Vaasan l‰‰nin it‰inen; 
Maria Raunio; SDP; Vaasan l‰‰nin it‰inen; 
Taavi Rissanen; SDP; Kuopion l‰‰nin l‰ntinen; 
Kalle Salminen; SDP; Turun l‰‰nin pohjoinen; 
Aaro Salo; SDP; Kuopion l‰‰nin l‰ntinen; 
Miina Sillanp‰‰; SDP; Uudenmaan l‰‰nin; 
Aatto SirÈn; SDP; Uudenmaan l‰‰nin; 
Yrjˆ Sirola; SDP; H‰meen l‰‰nin pohjoinen; 
Artturi Sivenius; SDP; H‰meen l‰‰nin etel‰inen; 
Aapeli Suomalainen; SDP; Kuopion l‰‰nin it‰inen; 
Juho Suomalainen; SDP; Kuopion l‰‰nin l‰ntinen; 
Vasili Suosaari; SDP; Viipurin l‰‰nin it‰inen; 
Taavi Tainio; SDP; Turun l‰‰nin etel‰inen; 
V‰inˆ Tanner; SDP; Turun l‰‰nin pohjoinen; 
Paavo Tikkanen; SDP; Kuopion l‰‰nin it‰inen; 
Oskari Tokoi; SDP; Vaasan l‰‰nin pohjoinen; 
Matti Turkia; SDP; Viipurin l‰‰nin l‰ntinen; 
Jenny Upari; SDP; Kuopion l‰‰nin it‰inen; 
Nils Robert af Ursin; SDP; H‰meen l‰‰nin pohjoinen; 1. varapuhemies, tyˆv‰enasiain valiokunnan pj.
Nestori Valavaara; SDP; Viipurin l‰‰nin it‰inen; 
Albin Valjakka; SDP; Mikkelin l‰‰nin; 
Edvard Valpas; SDP; Uudenmaan l‰‰nin; 
Vihtori Viitanen; SDP; Viipurin l‰‰nin l‰ntinen; 
Sulo Wuolijoki; SDP; H‰meen l‰‰nin etel‰inen; 
W‰inˆ Wuolijoki; SDP; Turun l‰‰nin etel‰inen; Tarkastusvaliokunnan pj.
Eveliina Ala-Kulju; Suom.; Vaasan l‰‰nin it‰inen; 
Juho Erkki Antila; Suom.; Vaasan l‰‰nin etel‰inen; 
Juhani Araj‰rvi; Suom.; Viipurin l‰‰nin l‰ntinen; 
Richard Danielson-Kalmari; Suom.; H‰meen l‰‰nin etel‰inen; 
Hannes Gebhard; Suom.; Vaasan l‰‰nin pohjoinen; Hedvig Gebhardin aviomies
Hedvig Gebhard; Suom.; H‰meen l‰‰nin pohjoinen; Hannes Gebhardin aviovaimo
Alexandra Gripenberg; Suom.; Turun l‰‰nin etel‰inen; 
Herman Hakulinen; Suom.; Kuopion l‰‰nin it‰inen; 
Emil Helkiˆ; Suom.; Turun l‰‰nin pohjoinen; 
Aukusti Hiltula; Suom.; Oulun l‰‰nin pohjoinen; 
August Hjelt; Suom.; Turun l‰‰nin etel‰inen; 
Iisakki Hoikka; Suom.; Oulun l‰‰nin pohjoinen; Ik‰puhemies
Lauri Ingman; Suom.; Turun l‰‰nin pohjoinen; 
Oswald Kairamo; Suom.; H‰meen l‰‰nin etel‰inen; 
Kaarlo Kares; Suom.; Mikkelin l‰‰nin; 
V‰inˆ Kivilinna; Suom.; Viipurin l‰‰nin it‰inen; 
Liisa Kivioja; Suom.; Vaasan l‰‰nin etel‰inen; 
Kaarle Knuutila; Suom.; Turun l‰‰nin etel‰inen; 
Aleksanteri Koivisto; Suom.; Vaasan l‰‰nin it‰inen; 
Emanuel Kolkki; Suom.; Kuopion l‰‰nin it‰inen; 
Hilda K‰kikoski; Suom.; Uudenmaan l‰‰nin; 
Aleksi K‰py; Suom.; Turun l‰‰nin etel‰inen; 
Arthur Lagerlˆf; Suom.; Oulun l‰‰nin etel‰inen; 
Oskari Laine; Suom.; Uudenmaan l‰‰nin; 
Juho Lepistˆ; Suom.; Mikkelin l‰‰nin; 
Akseli Listo; Suom.; Vaasan l‰‰nin it‰inen; Laki- ja talousvaliokunnan pj.
Wilhelmi Malmivaara; Suom.; Vaasan l‰‰nin pohjoinen; 
Kaarle Myllyl‰; Suom.; Oulun l‰‰nin etel‰inen; 
Ernst Nevanlinna; Suom.; H‰meen l‰‰nin pohjoinen; valtiovarainvaliokunnan pj.
Daniel Nyk‰nen; Suom.; Mikkelin l‰‰nin; 
Aate Olkkonen; Suom.; Oulun l‰‰nin etel‰inen; 
Juho Kusti Paasikivi; Suom.; Turun l‰‰nin pohjoinen; Maatalousvaliokunnan pj.
Olli Pajari; Suom.; Viipurin l‰‰nin it‰inen; 
Ernst PalmÈn; Suom.; Uudenmaan l‰‰nin; 2. varapuhemies, valtiovarainvaliokunnan pj. 1907
Hjalmar Gabriel Paloheimo; Suom.; H‰meen l‰‰nin etel‰inen; 
Tuomas Pohjanpalo; Suom.; Vaasan l‰‰nin pohjoinen; 
Erkki Pullinen; Suom.; Viipurin l‰‰nin it‰inen; 
Sameli Rajala; Suom.; Vaasan l‰‰nin etel‰inen; 
Juho Rannikko; Suom.; Turun l‰‰nin etel‰inen; 
Frans Rapola; Suom.; Turun l‰‰nin pohjoinen; 
Vilho Reima; Suom.; Uudenmaan l‰‰nin; 
Heikki Repo; Suom.; Viipurin l‰‰nin it‰inen; 
Justus Ripatti; Suom.; Mikkelin l‰‰nin; 
Joseph Runtti; Suom.; Oulun l‰‰nin pohjoinen; 
Wilho Sipil‰; Suom.; Turun l‰‰nin etel‰inen; Rautatievaliokunnan pj.
Mikko Sipponen; Suom.; Viipurin l‰‰nin it‰inen; 
Mikael Soininen; Suom.; Mikkelin l‰‰nin; Sivistysvaliokunnan pj.
Matti Tervaniemi; Suom.; Lapin vaalipiiri; 
Juho Torppa; Suom.; Vaasan l‰‰nin pohjoinen; 
Juho Tulikoura; Suom.; Viipurin l‰‰nin l‰ntinen; 
Juho Erkki Vaarala; Suom.; Oulun l‰‰nin pohjoinen; 
Iisakki Vahe; Suom.; Oulun l‰‰nin etel‰inen; 
Iida Vemmelpuu; Suom.; Turun l‰‰nin pohjoinen; 
Artturi H. Virkkunen; Suom.; Kuopion l‰‰nin l‰ntinen; 
Johannes Wilskman; Suom.; Viipurin l‰‰nin l‰ntinen; 
Artur Wuorimaa; Suom.; Viipurin l‰‰nin l‰ntinen; 
Jussi Ylikorpi; Suom.; Vaasan l‰‰nin pohjoinen; 
Sakari Yrjˆ-Koskinen; Suom.; H‰meen l‰‰nin pohjoinen; 
Yrjˆ Yrjˆ-Koskinen; Suom.; Vaasan l‰‰nin etel‰inen; 
Kaarlo Heininen; KTL; Turun l‰‰nin etel‰inen; 
Matti Merivirta; KTL; Turun l‰‰nin pohjoinen;