to	from	weigth
Alli Nissinen	Eero Hyvärinen	2
Alli Nissinen	Gustaf Niklander	2
Alli Nissinen	Jonas Castren	2
Hilma Räsänen	O. Anttila	2
Hilma Räsänen	Santeri Alkio	2
Hilma Räsänen	Juhani Leppälä	2
Hilma Räsänen	Wilho Reima	2
Hilma Räsänen	Otto Karhi	2
Juho Myller	Sandra Tuupaisen	2
Helena Braatz	Mary Lundqvist	2
Helena Braatz	Marta Moretti	2
Östen Elfving	Hannes Nylander	2
Hanna Keto	Hilda Seppä	2
Martti Birckin	Wilhelm Krag	2
Alexis Gripen	Georg Estlander	2
Eva Lessmann	Robert Kajanus	2
A. Lunden	E Ljungberg	2
Robert Kajanus	Sigrid Lindberg	2
Robert Kajanus	Selim Palmgren	2
Amalia Karlsson	Matti Virtanen	2
Armas Launis	Ilmari Krohn	2
Hilda Laine	Hilda Vanhala	2
Anna-Lisa Pettersson	Emil Gustafsson	2
Allan Serlachius	Georg Estlander	2
H. Lindroos	Otto Wrede	2
Lars Krogius	Oskar Hakuikä	2
Aksel Alanderin	ARTUR ALLI	2
Antti Eronen	Matti Ahola	2
Antti Eronen	Maria Niskanen	2
Hanna Saikku	Jalmari Häkkinen	2
ANTTI MIKKOLA	Eero Erkko	2
ANTTI MIKKOLA	Pekka Leppänen	2
Aukusti Hiltula	Mikko Knuutila	2
H. Erkko	Kustavi Grotenjelt	2
H. Erkko	Hilja Haahti	2
Ernst Borenius	Mikael Johnsson	2
Ernst Borenius	J. Relander	2
Amalia Zimmermann	Viktor Ahlbercin	2
Amalia Zimmermann	Maria Niskanen	2
Edit Cajander	Elin Mali	2
A. Lindfors	Niklas Järnefelt	2
Heikki Kiiskinen	Santeri Alkio	2
Heikki Kiiskinen	Juhani Leppälä	2
August Ramsay	Hjalmar Ekholm	2
Niklas Järnefelt	Sigurd Rosenberg	2
Niklas Järnefelt	Rudolf Jack	2
Lucina Hagman	Oskari Mantere	2
Lucina Hagman	O. Mantere	2
Gunnar Landtman	Hugo Karsten	2
Gunnar Landtman	Rafael Karsten	2
Axel Cedercreutz	Ellen Ahlqvist	2
Ella Lilius	John Pettersson	2
Anders Donner	Ernst Borenius	2
Sjöblom Vaasa	Wikeström Turo	2
Kyösti Kallio	Lauri Tuunainen	2
Kyösti Kallio	Santeri Alkio	2
Juho Lepistö	Justus Ripatti	2
Alfred Backman	Birger Hallman	2
Hilda Käkikoski	Wilho Reima	2
Karl Gahnström	Ragnar Kramer	2
A. Luoma	Jonas Castren	2
Aino Keinänen	Ellen Borenius	2
Aino Keinänen	Emma Taltzman	2
Aino Keinänen	Ester Lindholm	2
Mary Wood-Allen	Yrjö Weil	2
Antti Jokinen	Arnold Napoleon Eklund	2
Aukusti Simelius	Helmi Selin	2
Helmi Setälä	H. Erkko	2
Helmi Setälä	Kustavi Grotenjelt	2
Victor Ek	Viktor Ekroos	2
Otto Karhi	Santeri Alkio	2
Aina Artukka	Jalmari Häkkinen	2
Aina Artukka	Hanna Saikku	2
Atle Wilskman	Ernst Lampén	2
Arne Lund	John Lamas	2
Arne Lund	Niklas Järnefelt	2
Eino Leino	Onni Talas	2
Eino Leino	Kaarle Halme	2
Eino Leino	Selim Palmgren	2
Eino Leino	Jalmari Hahl	2
Eino Leino	Helmi Setälä	2
Eino Leino	Erkki Melartin	2
Eino Leino	Hellberg Toijala	2
Eino Leino	Hilma Liima	2
Lude Latour	Stella Dina	2
Juhani Leppälä	Lauri Tuunainen	2
Juhani Leppälä	Santeri Alkio	2
Juhani Leppälä	Otto Karhi	2
Juhani Leppälä	Kyösti Kallio	2
Heikki Meriläinen	Santeri Ingman	2
Heikki Meriläinen	Juhani Aho	2
Eliel Mattila	Erik Byman	2
Erika Lovisa Forsgrenille	Johanna Constance	2
Erika Lovisa Forsgrenille	Gustava Wilhelmina	2
Erika Lovisa Forsgrenille	Klara Erika Vikström	2
Axel Holmström	Georg Estlander	2
Axel Holmström	Oskar Nakuikä	2
Edouard Celli	Marcel Casadesus	2
Armas Järnefelt	Eino Leino	2
Armas Järnefelt	Jean Sibelius	2
Atte Mantere	Hilda Herrala	2
Ingeborg Maria	THEODOR STORM	2
Albert Edelfelt	Fredrik Cygnaeuksesta	2
Albert Edelfelt	Yrjö Veijola	2
Albert Edelfelt	Ilona Jalava	2
Albert Edelfelt	Eero Järnefelt	2
Albert Edelfelt	Axel Gallen	2
Ernst Nordströmille	Severi Alanne	2
Juho Snellman	Matti Pesonen	2
Juho Snellman	Mikko Knuutila	2
Hilja Haahti	Kustavi Grotenjelt	2
Armas Lindgren	Eliel Saarinen	2
Ernst Wrede	Ossian Sivén	2
Ants Raudjalg	Hilja Haahti	2
Anni Swan	Hilja Haahti	2
Anni Swan	H. Erkko	2
Anni Swan	Björnstjerne Björnsonin	2
Anni Swan	Kustavi Grotenjelt	2
Onni Talas	Robert Kajanus	2
Onni Talas	Selim Palmgren	2
Aaro Väänänen	Juho Snellman	2
Juho Laitinen	Juho Snellman	2
Gösta Enckell	Jarl Lindberg	2
Gösta Schatelowitz	Juho Oskar Viljanen	2
Gösta Schatelowitz	Selim Palmgren	2
Ellinor Ingman	Emma Taltzman	2
Axel Cedercrentz	Naema Ericson	2
Erkki Melartin	Ossian Fohström	2
Fritz Oeitlin	Mary von Haartman	2
Fritz Oeitlin	Niilo Helander	2
I. Tyyskä	Samuli Paulaharju	2
Aino Liipola	Mandi Hytönen	2
Matti Pesonen	Mikko Knuutila	2
John Lamas	Sigurd Rosenberg	2
Lauri Tuunainen	Otto Karhi	2
Hugo Simberg	Magnus Enckell	2
Hugo Karsten	Rafael Karsten	2
Helge Hartman	KUNO ALITHAN	2
Ilmari Krohn	Mikael Nyberg	2
Juho Nestor Nurmi	Karl Saaristo	2
Kalle Kiipula	Sofia Sjöblad	2
Adi Tikkanen	Miina Huttunen	2
Josef Hymander	Sakari Soinne	2
Artur Bergström	Juho Nestor Nurmi	2
Artur Bergström	Karl Saaristo	2
Aarni Kouta	Onni Talas	2
Aarni Kouta	Robert Kajanus	2
Aarni Kouta	Eino Leino	2
Aarni Kouta	Selim Palmgren	2
Ernst Lampén	Werner Lindbohm	2
August Strindberg	Knut Hamsun	2
Hasse de	Marcel Casadesus	2
Jalo Kalima	Leo Tolstoi	2
Mikko Knuutila	Pekka Leppänen	2
Anna Ahlfors	Ebba Gisico	2
Anna Ahlfors	Valborg Florström	2
Björnstjerne Björnsonin	Helmi Setälä	2
Björnstjerne Björnsonin	Kustavi Grotenjelt	2
Björnstjerne Björnsonin	Hilja Haahti	2
Björnstjerne Björnsonin	H. Erkko	2
Filip Grönvall	Yrjö Weil	2
Heinrich von	Irene Mendelin	2
Harry Althoff	Jonas Castren	2
Juhani Aho	Niklas Järnefelt	2
Naema Ericson	T:rl Elmgren	2
Jalmari Hahl	Robert Kajanus	2
Jalmari Hahl	Ossian Fohström	2
Leo Funtek	Robert Kajanus	2
Henrik Filppula	Karl Saaristo	2
Henrik Filppula	Kasper Renström	2
August Raatikainen	Heikki Kiiskinen	2
August Raatikainen	Otto Karhi	2
August Raatikainen	Kyösti Kallio	2
Emil Orädd	Juho Lepistö	2
Frans Lehtonen	Kalle Riikola	2
Emil Gustafsson	Mauri Hartea	2
John Lamus	Niklas Järnefelt	2
Johan Järwisen	Juho Nestor Nurmi	2
Aksel Castren	SAKARI CASTREN	2
Jarl Hagelstam	Lars Sonck	2
Aino Niemelä	Signe Berg	2
Arthur Lindfors	Arwi Lindroos	2
ARVID JÄRNEFELT	Leo Tolstoi	2
Emil Erikson	Maria Niskanen	2
Gabrielle Laulu	Juliette Lind	2
G. Renvall	Kaupunginlääkäri Ernfr	2
Frans Stockmann	Ragnar Kramer	2
Frans Stockmann	Karl Gahnström	2
Alexis Gripenberg	Oskar Merikanto	2
Alexander Frey	Oskari RntaneiL	2
Jonas Castren	Pekka Pennanen	2
Jonas Castren	Pekka Leppänen	2
Jonas Castren	Juho Snellman	2
Jonas Castren	Juhani Aho	2
Eero Järnefelt	Ernst Nordström	2
Eero Järnefelt	Johannes Gummerus	2
Eero Järnefelt	W. Söderhjelm	2
Eero Järnefelt	Magnus Enckell	2
Eero Järnefelt	Georg Schauman	2
Augusta Meriläinen	Väinö Meriläinen	2
Georg Estlander	Otto Hyyry	2
Abraham Lincolnista	George Washington	2
Abraham Lincolnista	Fredrik Svuren	2
AXEL R.	Neiti H.	2
Karolina Eskelln	Naema Ericson	2
Eero Erkko	Jonas Castren	2
Eero Erkko	Leo Ernrooth	2
Axel Parviainen	Tuomas Reinikainen	2
Fredrik Svuren	George Washington	2
Johannes Gummerus	Werner Söderhjelm	2
Fredrik Cygnaeuksesta	Yrjö Veijola	2
Fredrik Cygnaeuksesta	Ilona Jalava	2
Fredrik Cygnaeuksesta	Fredrik Cygnaeus	2
Axel F.	Lars Krogius	2
Axel F.	Helena Slrkln	2
Arnold Napoleon Eklund	Juho Nestor Nurmi	2
Arnold Napoleon Eklund	Karl Saaristo	2
Arnold Napoleon Eklund	Artur Bergström	2
Eero Kilpi	Jussi Snellman	2
JOHANNES BROFELDT	Wilhelm Rot	2
JOHANNES BROFELDT	Otto Tanner	2
Karl Saaristo	Kasper Renström	2
Lude Latonr	W:m Beck	2
Lude Latonr	Stella Dina	2
Johannes Lundson	Werner Palmroth	2
Aino Kallas	Ilona Jalava	2
Elin Elmgren	Karolina Eskelln	2
Erkki Kivijärvi	Leo Funtek	2
Atte Franck	T:ri Hans	2
Eero Alpi	Kaarle Halme	2
Ilona Jalava	Yrjö Veijola	2
Carl Söderström	Ingrid Andersson	3
Axel Gallen	Magnus Enckell	3
A. Lunden	Ernst Hedman	3
Carl Lindvall	Vilhelm Hackman	3
Carl Lindvall	Matti Pieti	3
Antti Eronen	Kaarlo Tuuli	3
Irene Renvall	Karl Ekman	3
Eino Rautavaara	Robert Kajanus	3
Amalia Zimmermann	Emil Erikson	3
Aino Joki	Lydia Joki	3
Heikki Kiiskinen	Otto Karhi	3
Heikki Kiiskinen	Kyösti Kallio	3
Niklas Järnefelt	Victor Ek	3
Matti Pieti	Vilhelm Hackman	3
Ella Lilius	Herra A.	3
Teodor Munck	Wilhelm Brummer	3
Aino Keinänen	Ellinor Ingman	3
Helmi Setälä	Hilja Haahti	3
Maria Niskanen	Matti Ahola	3
Atle Wilskman	Werner Lindbohm	3
Eino Leino	Juhani Aho	3
Eino Leino	Robert Kajanus	3
Eino Leino	Jaana Rönty	3
Lude Latour	W:m Beck	3
Axel Holmström	Oskar Haka	3
Axel Holmström	Oskar Hakulm	3
Armas Järnefelt	Selim Palmgren	3
Armas Järnefelt	Bertha Corander	3
Juho Oskar Viljanen	Selim Palmgren	3
Juliette Lind	Vivi Ruotsalainen	3
Albert Veltheim	Kaarlo Tuuli	3
Alfred Casella	Edouard Celli	3
Walter Herlin	Werner Lindbohm	3
Asianajaja Ernst	John Grenman	3
Gerda Lind	Irene Renvall	3
Gerda Lind	Karl Ekman	3
Herra A.	John Pettersson	3
Gösta Enckell	Pehr Oadd	3
Alfred Holmström	KUNO ALFTHAN	3
Erik Leander	Johannes Johansson	3
Inga Heine	Leo Tolstoi	3
Ernst Lampén	Walter Herlin	3
Georg Schauman	Werner Söderhjelm	3
Juhani Aho	Santeri Ingman	3
Alvar Renqvist	August Ramsay	3
Alvar Renqvist	Lennart Cajander	3
Pekka Leppänen	Pekka Pennanen	3
Kaarle Halme	Simo Kaario	3
Ida Ekman	Karl Ekman	3
Aleks Koho	Carl Lindvall	3
Aleks Koho	Matti Pieti	3
Aleks Koho	Vilhelm Hackman	3
Emil Erikson	Viktor Ahlbercin	3
Jonas Castren	Lucina Hagman	3
Arvid Grönberg	Erik Byman	3
Arvid Grönberg	Eliel Mattila	3
Hilda Flodin	Magnus Enckell	3
J. Vellman	T:ri E.	3
Artur Krook	Karolina Eskelin	3
Aino Kallas	Ants Raudjalg	3
Aino Kallas	Hilja Haahti	3
Elin Elmgren	Karolina Eskelin	3
Fritz Wiik	JOHANNES BROFELDT	3
Alli Nissinen	Juho Snellman	4
H. Kokko	O. Merikanto	4
Carl Anton	Fernanda Soretta	4
A. Ojaperä	H. Kokko	4
A. Ojaperä	O. Merikanto	4
August Ramsay	Lennart Cajander	4
Georg Segerstrålen	HELGE HARTHAN	4
Georg Segerstrålen	KUNO ALFTHAN	4
Kyösti Kallio	Otto Karhi	4
Atle Wilskman	Walter Herlin	4
Ellen Ahlqvist	Karolina Eskelin	4
Ellen Ahlqvist	Naema Ericson	4
Albert Veltheim	Antti Eronen	4
Anna Hjorth	Armas Järnefelt	4
Hans Estlander	Knut Sundman	4
Alfred Holmström	Georg Segerstrålen	4
Matilda von	Robert Blomqvist	4
Axel Cedercrentz	Ellen Ahlqvist	4
Georg Jensen	Mary von Haartman	4
Georg Jensen	Niilo Helander	4
Juhani Aho	Lucrezia Borg	4
Matilda von Troil	Robert Blomqvist	4
Agnes Poschner	Oskar Merikanto	4
Kaarlo Brofeldt	Mikael Johnsson	4
Gabrielle Laulu	Vivi Ruotsalainen	4
Arno Lund	John Lamus	4
Arno Lund	Sigurd Rosenberg	4
Jonas Castren	Mikko Knuutila	4
Eero Järnefelt	Werner Söderhjelm	4
Eero Järnefelt	Hilda Flodin	4
JOHANNES BROFELDT	Wilhelm Rotta	4
Elin Elmgren	Naema Ericson	4
Axel Gallen	Hilda Flodin	5
Axel Gallen	Hugo Simberg	5
Eino Rautavaara	Eva Lessmann	5
Stella Dina	W:m Beck	5
Axel Holmström	Oskar Hakulin	5
E Ljungberg	Ernst Hedman	5
Anni Swan	Helmi Setälä	5
Alfred Holmström	Helge Hartman	5
Erkki Melartin	Jalmari Hahl	5
Helge Hartman	KUNO ALFTHAN	5
Mary von Haartman	Niilo Helander	5
Evert Suonio	Wilhelm Krag	5
Alexander Frey	Asianajaja Ernst	5
Eero Järnefelt	Hugo Simberg	5
Axel Gallen	Eero Järnefelt	6
Carl Anton	Evelene Lola	6
Alfred Casella	Henri Casadesus	6
Hjalmar Söderberg	Martti Birckin	6
Alexander Frey	John Grenman	6
Hilda Flodin	Hugo Simberg	6
Alfred Casella	Marcel Casadesus	7
Hugo Lilius	NILS NORELL	7
JOHANNES BROFELDT	Wilhelm Rothen	7
Anna Larsson	Fernanda Soretta	8
Karolina Eskelin	Naema Ericson	8
Henri Casadesus	Marcel Casadesus	8
Aleksis Kivi	Hemmo Kallio	9
Fredrik Thuring	William Thuring	9
Alfred Backman	Birger Halia	11
Anna Larsson	Carl Anton	13
Gösta Enckell	Pehr Gadd	16
John Lamus	Rudolf Jack	16
Rudolf Jack	Sigurd Rosenberg	17
Arne Lund	John Lamus	18
Arne Lund	Rudolf Jack	18
Georg Segerstrålen	Helge Hartman	22
Arne Lund	Sigurd Rosenberg	22
John Lamus	Sigurd Rosenberg	22
Fritz Wiik	Otto Tanner	22
Allan Serlachius	Otto Hyyry	24
A. Apostoli	Oscar Carlsson	25
Alexis Gripenberg	Georg Estlander	43
Axel Holmström	Oskar Hakuikä	55
